,LABEL,DATE_TIME,TEXT,sentences,sentence_count,token_count,tokens,words_starting_with_vowel,words_starting_with_consonant,lowercase_text,lowercase_tokens,UserNames,UserNamesCounts,URLs,URLCounts,Day
10,0,Mon Jun 22 13:51:56 2009,Minecart ride now. Sarah's still too afraid to ride anything fun with me. ,"['Minecart ride now', 'Sarah', ""'s still too afraid to ride anything fun with me.""]",3,15,"['Minecart', 'ride', 'now', '.', ""Sarah's"", 'still', 'too', 'afraid', 'to', 'ride', 'anything', 'fun', 'with', 'me', '.']",2,10,minecart ride now. sarah's still too afraid to ride anything fun with me. ,"['minecart', 'ride', 'now', '.', ""sarah's"", 'still', 'too', 'afraid', 'to', 'ride', 'anything', 'fun', 'with', 'me', '.']",[],0,[],0,Mon
11,1,Fri May 22 03:27:18 2009,@tb78 Cheers for follow! ,['@tb78 Cheers for follow'],1,5,"['@tb78', 'Cheers', 'for', 'follow', '!']",0,3,@tb78 cheers for follow! ,"['@tb78', 'cheers', 'for', 'follow', '!']",['@tb78'],1,[],0,Fri
12,0,Fri May 22 00:37:02 2009,@sokendrakouture yea alone ,['@sokendrakouture yea alone'],1,3,"['@sokendrakouture', 'yea', 'alone']",1,1,@sokendrakouture yea alone ,"['@sokendrakouture', 'yea', 'alone']",['@sokendrakouture'],1,[],0,Fri
13,1,Mon Jun 15 00:04:06 2009,Good morning! We are blessed with another day to share our light and love with others! ,"['Good morning', 'We are blessed with another day to share our light and love with others']",2,18,"['Good', 'morning', '!', 'We', 'are', 'blessed', 'with', 'another', 'day', 'to', 'share', 'our', 'light', 'and', 'love', 'with', 'others', '!']",5,10,good morning! we are blessed with another day to share our light and love with others! ,"['good', 'morning', '!', 'we', 'are', 'blessed', 'with', 'another', 'day', 'to', 'share', 'our', 'light', 'and', 'love', 'with', 'others', '!']",[],0,[],0,Mon
14,1,Sun Apr 19 10:25:32 2009,@RealDeal32 NO! ,['@RealDeal32 NO'],1,3,"['@RealDeal32', 'NO', '!']",0,1,@realdeal32 no! ,"['@realdeal32', 'no', '!']",['@RealDeal32'],1,[],0,Sun
15,1,Sat Apr 18 14:29:38 2009,"@yoginifoodie WEll, thanks, lol- want some?  ","['@yoginifoodie WEll, thanks, lol- want some']",1,7,"['@yoginifoodie', 'WEll,', 'thanks,', 'lol-', 'want', 'some', '?']",0,5,"@yoginifoodie well, thanks, lol- want some?  ","['@yoginifoodie', 'well,', 'thanks,', 'lol-', 'want', 'some', '?']",['@yoginifoodie'],1,[],0,Sat
16,1,Sun May 31 15:03:49 2009,@mileycyrus i'll play against you and pwn you. yeeee. btw i voted for you ,"[""@mileycyrus i'll play against you and pwn you"", 'yeeee', 'btw i voted for you']",3,16,"['@mileycyrus', ""i'll"", 'play', 'against', 'you', 'and', 'pwn', 'you', '.', 'yeeee', '.', 'btw', 'i', 'voted', 'for', 'you']",4,9,@mileycyrus i'll play against you and pwn you. yeeee. btw i voted for you ,"['@mileycyrus', ""i'll"", 'play', 'against', 'you', 'and', 'pwn', 'you', '.', 'yeeee', '.', 'btw', 'i', 'voted', 'for', 'you']",['@mileycyrus'],1,[],0,Sun
17,1,Sat May 30 20:40:57 2009,just got out the hot tub....about to go get a movie and ice cream with mt lil sis and call it a night!!!  nothing like some sis time!!! ,"['just got out the hot tub....about to go get a movie and ice cream with mt lil sis and call it a night', 'nothing like some sis time']",2,32,"['just', 'got', 'out', 'the', 'hot', 'tub', '....', 'about', 'to', 'go', 'get', 'a', 'movie', 'and', 'ice', 'cream', 'with', 'mt', 'lil', 'sis', 'and', 'call', 'it', 'a', 'night', '!!!', 'nothing', 'like', 'some', 'sis', 'time', '!!!']",8,20,just got out the hot tub....about to go get a movie and ice cream with mt lil sis and call it a night!!!  nothing like some sis time!!! ,"['just', 'got', 'out', 'the', 'hot', 'tub', '....', 'about', 'to', 'go', 'get', 'a', 'movie', 'and', 'ice', 'cream', 'with', 'mt', 'lil', 'sis', 'and', 'call', 'it', 'a', 'night', '!!!', 'nothing', 'like', 'some', 'sis', 'time', '!!!']",[],0,[],0,Sat
18,0,Thu May 21 23:50:48 2009,@flyingbolt  Not as good without you! ,['@flyingbolt  Not as good without you'],1,7,"['@flyingbolt', 'Not', 'as', 'good', 'without', 'you', '!']",1,4,@flyingbolt  not as good without you! ,"['@flyingbolt', 'not', 'as', 'good', 'without', 'you', '!']",['@flyingbolt'],1,[],0,Thu
19,0,Mon Apr 20 05:54:03 2009,"LOL HELP ME, I'm obsessed with Hannah Montana ","[""LOL HELP ME, I'm obsessed with Hannah Montana""]",1,8,"['LOL', 'HELP', 'ME,', ""I'm"", 'obsessed', 'with', 'Hannah', 'Montana']",2,5,"lol help me, i'm obsessed with hannah montana ","['lol', 'help', 'me,', ""i'm"", 'obsessed', 'with', 'hannah', 'montana']",[],0,[],0,Mon
20,0,Wed Jun 24 21:57:44 2009,I hate when people have to move away from me ,['I hate when people have to move away from me'],1,10,"['I', 'hate', 'when', 'people', 'have', 'to', 'move', 'away', 'from', 'me']",2,8,i hate when people have to move away from me ,"['i', 'hate', 'when', 'people', 'have', 'to', 'move', 'away', 'from', 'me']",[],0,[],0,Wed
21,0,Sat Jun 20 10:30:52 2009,http://bit.ly/AEbs3   I can only be sad.  #iranelection,"['http://bit.ly/AEbs3   I can only be sad', '#iranelection']",2,8,"['http://bit.ly/AEbs3', 'I', 'can', 'only', 'be', 'sad', '.', '#iranelection']",4,3,http://bit.ly/aebs3   i can only be sad.  #iranelection,"['http://bit.ly/aebs3', 'i', 'can', 'only', 'be', 'sad', '.', '#iranelection']",[],0,['http://bit.ly/AEbs3'],1,Sat
22,1,Wed Jun 03 02:49:07 2009,@SCTunstall woah.  I'm glad I cut and ran after two West Wing episodes ,"['@SCTunstall woah', 'I', ""'m glad I cut and ran after two West Wing episodes""]",3,14,"['@SCTunstall', 'woah', '.', ""I'm"", 'glad', 'I', 'cut', 'and', 'ran', 'after', 'two', 'West', 'Wing', 'episodes']",5,7,@sctunstall woah.  i'm glad i cut and ran after two west wing episodes ,"['@sctunstall', 'woah', '.', ""i'm"", 'glad', 'i', 'cut', 'and', 'ran', 'after', 'two', 'west', 'wing', 'episodes']",['@SCTunstall'],1,[],0,Wed
23,0,Sun May 31 18:36:38 2009,@digitallearnin Heppell's opening sentences describe how I see NZ schools developing under the current govt  ...,"[""@digitallearnin Heppell's opening sentences describe how I see NZ schools developing under the current govt  ...""]",1,16,"['@digitallearnin', ""Heppell's"", 'opening', 'sentences', 'describe', 'how', 'I', 'see', 'NZ', 'schools', 'developing', 'under', 'the', 'current', 'govt', '...']",3,11,@digitallearnin heppell's opening sentences describe how i see nz schools developing under the current govt  ...,"['@digitallearnin', ""heppell's"", 'opening', 'sentences', 'describe', 'how', 'i', 'see', 'nz', 'schools', 'developing', 'under', 'the', 'current', 'govt', '...']",['@digitallearnin'],1,[],0,Sun
24,1,Sun May 17 11:22:44 2009,@IHauntWizards See it! Its amazing ,"['@IHauntWizards See it', 'Its amazing']",2,6,"['@IHauntWizards', 'See', 'it', '!', 'Its', 'amazing']",4,1,@ihauntwizards see it! its amazing ,"['@ihauntwizards', 'see', 'it', '!', 'its', 'amazing']",['@IHauntWizards'],1,[],0,Sun
25,0,Fri Jun 19 03:56:13 2009,"@Luke Oh Luke  , why don't you answer me? pleease try it . Love your music ! Hear it the whole day, really !","[""@Luke Oh Luke  , why don't you answer me"", 'pleease try it', 'Love your music', 'Hear it the whole day, really']",4,25,"['@Luke', 'Oh', 'Luke', ',', 'why', ""don't"", 'you', 'answer', 'me', '?', 'pleease', 'try', 'it', '.', 'Love', 'your', 'music', '!', 'Hear', 'it', 'the', 'whole', 'day,', 'really', '!']",4,15,"@luke oh luke  , why don't you answer me? pleease try it . love your music ! hear it the whole day, really !","['@luke', 'oh', 'luke', ',', 'why', ""don't"", 'you', 'answer', 'me', '?', 'pleease', 'try', 'it', '.', 'love', 'your', 'music', '!', 'hear', 'it', 'the', 'whole', 'day,', 'really', '!']",['@Luke'],1,[],0,Fri
26,1,Sun May 31 12:56:37 2009,getting ready ,['getting ready'],1,2,"['getting', 'ready']",0,1,getting ready ,"['getting', 'ready']",[],0,[],0,Sun
27,0,Sun May 03 07:03:20 2009,@buckhollywood I Cant Watch That i'm in the UK  Can you tell me what its about? Please x,"[""@buckhollywood I Cant Watch That i'm in the UK  Can you tell me what its about"", 'Please x']",2,19,"['@buckhollywood', 'I', 'Cant', 'Watch', 'That', ""i'm"", 'in', 'the', 'UK', 'Can', 'you', 'tell', 'me', 'what', 'its', 'about', '?', 'Please', 'x']",6,11,@buckhollywood i cant watch that i'm in the uk  can you tell me what its about? please x,"['@buckhollywood', 'i', 'cant', 'watch', 'that', ""i'm"", 'in', 'the', 'uk', 'can', 'you', 'tell', 'me', 'what', 'its', 'about', '?', 'please', 'x']",['@buckhollywood'],1,[],0,Sun
28,0,Mon Jun 15 07:31:50 2009,I wont forget today .... ,['I wont forget today ....'],1,5,"['I', 'wont', 'forget', 'today', '....']",1,3,i wont forget today .... ,"['i', 'wont', 'forget', 'today', '....']",[],0,[],0,Mon
29,1,Sun May 17 23:50:10 2009,"@soycamo Right then, now that weï¿½re on the same page  Write in Ruby + Cocoa?","['@soycamo Right then, now that weï¿½re on the same page  Write in Ruby + Cocoa']",1,16,"['@soycamo', 'Right', 'then,', 'now', 'that', 'weï¿½re', 'on', 'the', 'same', 'page', 'Write', 'in', 'Ruby', '+', 'Cocoa', '?']",2,11,"@soycamo right then, now that weï¿½re on the same page  write in ruby + cocoa?","['@soycamo', 'right', 'then,', 'now', 'that', 'weï¿½re', 'on', 'the', 'same', 'page', 'write', 'in', 'ruby', '+', 'cocoa', '?']",['@soycamo'],1,[],0,Sun
30,1,Mon Jun 15 21:51:12 2009,@Liverpool_TX lol.. okay if I have your permission I'll try.. (will give you credit)  ,"['@Liverpool_TX lol.', 'okay if I have your permission I', ""'ll try.. (will give you credit)""]",3,16,"['@Liverpool_TX', 'lol', '..', 'okay', 'if', 'I', 'have', 'your', 'permission', ""I'll"", 'try', '..', '(will', 'give', 'you', 'credit)']",4,8,@liverpool_tx lol.. okay if i have your permission i'll try.. (will give you credit)  ,"['@liverpool_tx', 'lol', '..', 'okay', 'if', 'i', 'have', 'your', 'permission', ""i'll"", 'try', '..', '(will', 'give', 'you', 'credit)']",['@Liverpool_TX'],1,[],0,Mon
31,0,Mon Jun 01 04:39:58 2009,@alix_says I'm going to miss freshman year... ,"[""@alix_says I'm going to miss freshman year...""]",1,8,"['@alix_says', ""I'm"", 'going', 'to', 'miss', 'freshman', 'year', '...']",2,5,@alix_says i'm going to miss freshman year... ,"['@alix_says', ""i'm"", 'going', 'to', 'miss', 'freshman', 'year', '...']",['@alix_says'],1,[],0,Mon
32,1,Sun May 31 04:09:06 2009,@domkoenig nice pic - like your shirt! ,['@domkoenig nice pic - like your shirt'],1,8,"['@domkoenig', 'nice', 'pic', '-', 'like', 'your', 'shirt', '!']",0,5,@domkoenig nice pic - like your shirt! ,"['@domkoenig', 'nice', 'pic', '-', 'like', 'your', 'shirt', '!']",['@domkoenig'],1,[],0,Sun
33,0,Wed Jun 17 00:06:45 2009,@mykiaisosm omj ur bad and mean i should not have meet u in 2nd grade even thouggh we hated each other i should have stayed like that ,['@mykiaisosm omj ur bad and mean i should not have meet u in 2nd grade even thouggh we hated each other i should have stayed like that'],1,27,"['@mykiaisosm', 'omj', 'ur', 'bad', 'and', 'mean', 'i', 'should', 'not', 'have', 'meet', 'u', 'in', '2nd', 'grade', 'even', 'thouggh', 'we', 'hated', 'each', 'other', 'i', 'should', 'have', 'stayed', 'like', 'that']",10,15,@mykiaisosm omj ur bad and mean i should not have meet u in 2nd grade even thouggh we hated each other i should have stayed like that ,"['@mykiaisosm', 'omj', 'ur', 'bad', 'and', 'mean', 'i', 'should', 'not', 'have', 'meet', 'u', 'in', '2nd', 'grade', 'even', 'thouggh', 'we', 'hated', 'each', 'other', 'i', 'should', 'have', 'stayed', 'like', 'that']",['@mykiaisosm'],1,[],0,Wed
34,1,Wed Jun 03 02:40:39 2009,"@Cyberela When it is Ã¼ber-succesful, it is called &quot;a Classic&quot; ","['@Cyberela When it is Ã¼ber-succesful, it is called &quot;a Classic&quot;']",1,10,"['@Cyberela', 'When', 'it', 'is', 'Ã¼ber-succesful,', 'it', 'is', 'called', '&quot;a', 'Classic&quot;']",5,3,"@cyberela when it is Ã¼ber-succesful, it is called &quot;a classic&quot; ","['@cyberela', 'when', 'it', 'is', 'Ã¼ber-succesful,', 'it', 'is', 'called', '&quot;a', 'classic&quot;']",['@Cyberela'],1,[],0,Wed
35,1,Sat May 02 02:26:10 2009,"Bathroom is sparkling btw ..... Been up since 7, that's gotta be wrong  right, next...","['Bathroom is sparkling btw ....', 'Been up since 7', "", that's gotta be wrong  right, next...""]",3,16,"['Bathroom', 'is', 'sparkling', 'btw', '.....', 'Been', 'up', 'since', '7,', ""that's"", 'gotta', 'be', 'wrong', 'right,', 'next', '...']",2,10,"bathroom is sparkling btw ..... been up since 7, that's gotta be wrong  right, next...","['bathroom', 'is', 'sparkling', 'btw', '.....', 'been', 'up', 'since', '7,', ""that's"", 'gotta', 'be', 'wrong', 'right,', 'next', '...']",[],0,[],0,Sat
36,0,Fri Jun 19 22:24:56 2009,@Sally_That_Girl poor L!  ,['@Sally_That_Girl poor L'],1,4,"['@Sally_That_Girl', 'poor', 'L', '!']",0,2,@sally_that_girl poor l!  ,"['@sally_that_girl', 'poor', 'l', '!']",['@Sally_That_Girl'],1,[],0,Fri
37,0,Sat Jun 20 06:03:20 2009,So sleepy!!  I hate 8am CASB ,"['So sleepy', 'I hate 8am CASB']",2,7,"['So', 'sleepy', '!!', 'I', 'hate', '8am', 'CASB']",1,3,so sleepy!!  i hate 8am casb ,"['so', 'sleepy', '!!', 'i', 'hate', '8am', 'casb']",[],0,[],0,Sat
38,1,Fri May 29 21:29:53 2009,@spencerpratt is cool ,['@spencerpratt is cool'],1,3,"['@spencerpratt', 'is', 'cool']",1,1,@spencerpratt is cool ,"['@spencerpratt', 'is', 'cool']",['@spencerpratt'],1,[],0,Fri
39,0,Sun Apr 19 01:47:25 2009,Work time   http://twitpic.com/3l589,['Work time   http://twitpic.com/3l589'],1,3,"['Work', 'time', 'http://twitpic.com/3l589']",0,2,work time   http://twitpic.com/3l589,"['work', 'time', 'http://twitpic.com/3l589']",[],0,['http://twitpic.com/3l589'],1,Sun
40,1,Mon Jun 15 04:25:56 2009,eating chocolate with brydie  x,['eating chocolate with brydie  x'],1,5,"['eating', 'chocolate', 'with', 'brydie', 'x']",1,4,eating chocolate with brydie  x,"['eating', 'chocolate', 'with', 'brydie', 'x']",[],0,[],0,Mon
41,0,Sun Apr 19 11:00:18 2009,Moz cancelled again!  Poor Akila. ,"['Moz cancelled again', 'Poor Akila.']",2,7,"['Moz', 'cancelled', 'again', '!', 'Poor', 'Akila', '.']",2,2,moz cancelled again!  poor akila. ,"['moz', 'cancelled', 'again', '!', 'poor', 'akila', '.']",[],0,[],0,Sun
42,0,Sun Jun 07 20:30:43 2009, i missed the game,['i missed the game'],1,4,"['i', 'missed', 'the', 'game']",1,3, i missed the game,"['i', 'missed', 'the', 'game']",[],0,[],0,Sun
43,0,Fri Jun 05 14:37:22 2009,"@marginatasnaily yeah, used to have them loads...hadn't had them for ages until tonight though it seems. scarey  xxx","[""@marginatasnaily yeah, used to have them loads...hadn't had them for ages until tonight though it seems"", 'scarey  xxx']",2,21,"['@marginatasnaily', 'yeah,', 'used', 'to', 'have', 'them', 'loads', '...', ""hadn't"", 'had', 'them', 'for', 'ages', 'until', 'tonight', 'though', 'it', 'seems', '.', 'scarey', 'xxx']",4,13,"@marginatasnaily yeah, used to have them loads...hadn't had them for ages until tonight though it seems. scarey  xxx","['@marginatasnaily', 'yeah,', 'used', 'to', 'have', 'them', 'loads', '...', ""hadn't"", 'had', 'them', 'for', 'ages', 'until', 'tonight', 'though', 'it', 'seems', '.', 'scarey', 'xxx']",['@marginatasnaily'],1,[],0,Fri
44,0,Mon Jun 01 07:05:54 2009,Finally back at work! What a wasted week that was ,"['Finally back at work', 'What a wasted week that was']",2,11,"['Finally', 'back', 'at', 'work', '!', 'What', 'a', 'wasted', 'week', 'that', 'was']",2,7,finally back at work! what a wasted week that was ,"['finally', 'back', 'at', 'work', '!', 'what', 'a', 'wasted', 'week', 'that', 'was']",[],0,[],0,Mon
45,1,Fri Jun 05 16:22:18 2009,i got a webcam ,['i got a webcam'],1,4,"['i', 'got', 'a', 'webcam']",2,2,i got a webcam ,"['i', 'got', 'a', 'webcam']",[],0,[],0,Fri
46,0,Thu Jun 18 11:53:16 2009,Off to watch a student play... back at 9:30. No phone to tweet from. ,"['Off to watch a student play..', 'back at 9', ':30', 'No phone to tweet from', '.']",5,17,"['Off', 'to', 'watch', 'a', 'student', 'play', '...', 'back', 'at', '9:30', '.', 'No', 'phone', 'to', 'tweet', 'from', '.']",3,10,off to watch a student play... back at 9:30. no phone to tweet from. ,"['off', 'to', 'watch', 'a', 'student', 'play', '...', 'back', 'at', '9:30', '.', 'no', 'phone', 'to', 'tweet', 'from', '.']",[],0,[],0,Thu
47,0,Thu Jun 18 08:49:09 2009,has been craving for junk food... ,['has been craving for junk food...'],1,7,"['has', 'been', 'craving', 'for', 'junk', 'food', '...']",0,5,has been craving for junk food... ,"['has', 'been', 'craving', 'for', 'junk', 'food', '...']",[],0,[],0,Thu
48,1,Wed Jun 03 05:56:47 2009,@Bossmobb Goodmorning to U n Goodnite I'm goin to bed. ,"[""@Bossmobb Goodmorning to U n Goodnite I'm goin to bed.""]",1,11,"['@Bossmobb', 'Goodmorning', 'to', 'U', 'n', 'Goodnite', ""I'm"", 'goin', 'to', 'bed', '.']",2,7,@bossmobb goodmorning to u n goodnite i'm goin to bed. ,"['@bossmobb', 'goodmorning', 'to', 'u', 'n', 'goodnite', ""i'm"", 'goin', 'to', 'bed', '.']",['@Bossmobb'],1,[],0,Wed
49,0,Fri May 29 22:35:37 2009,@NewerDeal I have a pedometer and Nintendo DS but I didn't think about mentioning them ,"[""@NewerDeal I have a pedometer and Nintendo DS but I didn't think about mentioning them""]",1,15,"['@NewerDeal', 'I', 'have', 'a', 'pedometer', 'and', 'Nintendo', 'DS', 'but', 'I', ""didn't"", 'think', 'about', 'mentioning', 'them']",5,9,@newerdeal i have a pedometer and nintendo ds but i didn't think about mentioning them ,"['@newerdeal', 'i', 'have', 'a', 'pedometer', 'and', 'nintendo', 'ds', 'but', 'i', ""didn't"", 'think', 'about', 'mentioning', 'them']",['@NewerDeal'],1,[],0,Fri
50,0,Tue Apr 07 07:10:16 2009,Cat has an appt this afternoon at 3:45. She ate a little this morning. She's hiding right now. I'm worried. ,"['Cat has an appt this afternoon at 3:45', 'She ate a little this morning', 'She', ""'s hiding right now"", 'I', ""'m worried.""]",6,24,"['Cat', 'has', 'an', 'appt', 'this', 'afternoon', 'at', '3:45', '.', 'She', 'ate', 'a', 'little', 'this', 'morning', '.', ""She's"", 'hiding', 'right', 'now', '.', ""I'm"", 'worried', '.']",7,11,cat has an appt this afternoon at 3:45. she ate a little this morning. she's hiding right now. i'm worried. ,"['cat', 'has', 'an', 'appt', 'this', 'afternoon', 'at', '3:45', '.', 'she', 'ate', 'a', 'little', 'this', 'morning', '.', ""she's"", 'hiding', 'right', 'now', '.', ""i'm"", 'worried', '.']",[],0,[],0,Tue
51,0,Fri Jun 05 19:18:57 2009,I effed up my stats ,['I effed up my stats'],1,5,"['I', 'effed', 'up', 'my', 'stats']",3,2,i effed up my stats ,"['i', 'effed', 'up', 'my', 'stats']",[],0,[],0,Fri
52,0,Fri Jun 05 12:41:43 2009,Scared of thunder and lightning.  Be careful Georgetta&lt;3,"['Scared of thunder and lightning', 'Be careful Georgetta', '&lt;3']",3,9,"['Scared', 'of', 'thunder', 'and', 'lightning', '.', 'Be', 'careful', 'Georgetta&lt;3']",2,5,scared of thunder and lightning.  be careful georgetta&lt;3,"['scared', 'of', 'thunder', 'and', 'lightning', '.', 'be', 'careful', 'georgetta&lt;3']",[],0,[],0,Fri
53,1,Sun Jun 07 00:58:04 2009,Going to Rawon Nguling at Cikajang. Yum!! ,"['Going to Rawon Nguling at Cikajang', 'Yum']",2,9,"['Going', 'to', 'Rawon', 'Nguling', 'at', 'Cikajang', '.', 'Yum', '!!']",1,5,going to rawon nguling at cikajang. yum!! ,"['going', 'to', 'rawon', 'nguling', 'at', 'cikajang', '.', 'yum', '!!']",[],0,[],0,Sun
54,0,Fri Jun 05 15:32:39 2009,@meggles89 I miss your face!  When is Bonnaroo?,"['@meggles89 I miss your face', 'When is Bonnaroo']",2,10,"['@meggles89', 'I', 'miss', 'your', 'face', '!', 'When', 'is', 'Bonnaroo', '?']",2,5,@meggles89 i miss your face!  when is bonnaroo?,"['@meggles89', 'i', 'miss', 'your', 'face', '!', 'when', 'is', 'bonnaroo', '?']",['@meggles89'],1,[],0,Fri
55,0,Tue Apr 07 08:45:22 2009,Stupid Twitter keeps telling me that it's 'over capacity' ,"[""Stupid Twitter keeps telling me that it's 'over capacity'""]",1,9,"['Stupid', 'Twitter', 'keeps', 'telling', 'me', 'that', ""it's"", ""'over"", ""capacity'""]",2,6,stupid twitter keeps telling me that it's 'over capacity' ,"['stupid', 'twitter', 'keeps', 'telling', 'me', 'that', ""it's"", ""'over"", ""capacity'""]",[],0,[],0,Tue
